KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
HullArmoredSmallBlocks,Hardened Steel Blocks S,Gehärtete Stahlblöcke S,Blocs acier blindé S,Blocchi di Acciaio Rinforzato S,Bloque de acero endurecido S,Blocos de Aço Temperado S,Blocos de Aço Reforçado P,"Bloki stalowe, hartowane S (grupa)",Прочные стальные блоки М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Güçlendirilmiş Çelik Bloklar S,Μπλοκ Σκληρό Ατσάλι S,Gehard staal blokken S,Khối thép cứng S
HullArmoredThin,Hardened Steel Block,Gehärteter Stahlblock,Bloc acier blindé (fin),Blocco di Acciaio Rinforzato (Sottile),Bloque de acero endurecido,Bloco de Aço Temperado,Bloco de Aço Reforçado (fino),Blok ze stali hartowanej,Прочный стальной блок (тонкий),硬化スチール,加固钢制方块,硬化鋼方塊,경화 강철 블록,Güçlendirilmiş Çelik Blok,Μπλοκ Σκληρό Ατσάλι,Gehard staal blokken,Khối thép cứng
HullArmoredThinLarge,Hardened Steel Block L,Gehärteter Stahlblock L,Bloc acier blindé L (fin),Blocco di Acciaio Rinforzato L (Sottile),Bloque de acero endurecido L,Bloco de Aço Temperado L,Bloco de Aço Reforçado G (fino),Blok ze stali hartowanej L,Прочный стальной блок Б (тонкий),硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Güçlendirilmiş Çelik Blok L,Μπλοκ Σκληρό Ατσάλι L,Gehard staal blok L,Khối thép cứng L
HullArmoredThinLargeBlocks,Hardened Steel Blocks L (thin),Gehärtete Stahlblöcke L (dünn),Blocs acier blindé L (fin),Blocchi di Acciaio Rinforzato L (Sottile),Bloque de acero endurecido L (fino),Blocos de Aço Temperado L (fino),Bloco de Aço Reforçado G (fino),"Bloki stalowe, hartowane, płaskie L (grupa)",Прочные стальные блоки Б (тонкие),薄型硬化スチールL,加固钢制方块 L（薄的）,硬化鋼大方塊（薄）,경화 강철 블록 L(얇음),Güçlendirilmiş Çelik Bloklar L (ince),Μπλοκ Σκληρό Ατσάλι L (λεπτό),Gehard staal blokken L (Smal),Khối thép cứng L (mỏng)
HullArmoredThinSmall,Hardened Steel Block S,Gehärteter Stahlblock S,Bloc acier blindé S (fin),Blocco di Acciaio Rinforzato S (Sottile),Bloque de acero endurecido S,Bloco de Aço Temperado S,Bloco de Aço Reforçado P (fino),Blok ze stali hartowanej S,Прочный стальной блок М (тонкий),硬化スチールL,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Güçlendirilmiş Çelik Blok S,Μπλοκ Σκληρό Ατσάλι S,Gehard staal blok S,Khối thép cứng S
HullArmoredThinSmallBlocks,Hardened Steel Blocks S (thin),Gehärtete Stahlblöcke S (dünn),Blocs acier blindé S (fin),Blocchi di Acciaio Rinforzato S (Sottile),Bloque de acero endurecido S (fino),Blocos de Aço Temperado S (fino),Blocos de Aço Reforçado P (fino),"Bloki stalowe, hartowane, płaskie S (grupa)",Прочные стальные блоки М (тонкие),薄型硬化スチールS,加固钢制方块 S（薄的）,硬化鋼小方塊（薄）,경화 강철 블록 S(얇음),Güçlendirilmiş Çelik Bloklar S (ince),Μπλοκ Σκληρό Ατσάλι S (λεπτό),Gehard staal blokken S (Smal),Khối thép cứng S
HullCombatFullLarge,Combat Steel Block L,Gefechts-Stahlblock L,Bloc acier militaire L,Blocco di Acciaio da Combattimento L,Bloque de acero de combate L,Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б,戦闘用スチールL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,Savaş Çeliği Blok L,Μπλοκ Ατσάλι Μάχης L,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatLargeBlocks,Combat Steel Blocks L,Gefechts-Stahlblöcke L,Blocs acier militaire L,Blocchi di Acciaio da Combattimento L,Bloque de acero de combate L,Blocos de Aço Combate L,Blocos de Aço de Combate G,Bloki ze stali bojowej L (grupa),Блоки из оружейной стали Б,戦闘用スチールL,战术钢制方块组 L,戰鬥鋼大方塊,전투용 강철 블록 L,Savaş Çeliği Blokları L,Μπλοκ Ατσάλι Μάχης L,Gewapend staal blokken L,Khối thép chiến đấu L
HullCombatThinLarge,Combat Steel Block L,Gefechts-Stahlblock L,Bloc acier militaire L (fin),Blocco di Acciaio da Combattimento L (Sottile),Bloque de acero de combate L,Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б (тонкий),戦闘用スチールL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,Savaş Çeliği Blok L,Μπλοκ Ατσάλι Μάχης L,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatThinLargeBlocks,Combat Steel Blocks L (thin),Gefechts-Stahlblöcke L (dünn),Blocs acier militaire L(fin),Blocchi di Acciaio da Combattimento L (Sottile),Bloque de acero de combate L (fino),Blocos de Aço Combate L (fino),Bloco de Aço de Combate G (fino),"Blok ze stali bojowej, płaskie L (grupa)",Блоки из оружейной стали Б (тонкие),薄型戦闘用スチールL,战术钢制方块组 L,戰鬥鋼大方塊（薄）,전투용 강철 블록 L(얇음),Savaş Çeliği Blokları L (ince),Μπλοκ Ατσάλι Μάχης L (λεπτό),Gewapend staal blokken L (Smal),Khối thép chiến đấu L (mỏng)
HullDestroyed,Steel Blocks - Destroyed,Stahlblöcke - zerstört,Blocs acier - détruits,Blocchi di Acciaio - Distrutti,Bloques de acero - Destruido,Blocos de Aço - Destruídos,Blocos de Aço - Destruído,"Bloki stalowe, zniszczone (grupa)",Стальные блоки - разбитые,スチール(破損),钢制方块 - 已损毁,鋼鐵方塊 - 已摧毀,강철 블록 - 파괴됨,Çelik Bloklar- Yıkık,Μπλοκ Ατσάλι - Κατεστραμμένο,Stalen blokken - Vernietigd,Khối thép - đã bị phá huỷ
HullFull,Steel Block,Stahlblock,Bloc acier,Blocco di Acciaio,Bloque de acero,Bloco de Aço,Bloco de Aço,Blok stalowy,Стальной блок,スチール,钢制方块,鋼鐵方塊,강철 블록,Çelik Blok,Μπλοκ Ατσάλι,Stalen blok,Khối thép
HullFullLarge,Steel Block L,Stahlblock L,Bloc acier L,Blocco di Acciaio L,Bloque de acero L,Bloco de Aço L,Bloco de Ferro G,Blok stalowy L,Стальной блок Б,スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,Çelik Blok L,Μπλοκ Ατσάλι L,Stalen blok L,Khối thép L
HullFullLargeDestroyed,Steel Block L - Destroyed,Stahlblock L - zerstört,Bloc acier L - détruit,Blocco di Acciaio L - Distrutto,Bloques de acero L - Destruido,Bloco de Aço - Destruído,Bloco de Aço G - Destruído,Blok stalowy L - zniszczony,Стальной блок Б - разбитый,スチールL(破損),钢制方块 L - 已损毁,鋼鐵大方塊 - 已摧毀,강철 블록 L - 파괴됨,Çelik Blok L - Yıkık,Μπλοκ Ατσάλι L - Κατεστραμμένο,Stalen blok L - Vernietigd,Khối thép L - đã bị phá huỷ
HullFullSmall,Steel Block S,Stahlblock S,Bloc acier S,Blocco di Acciaio S,Bloque de acero S,Bloco de Aço S,Bloco de Aço P,Blok stalowy S,Стальной блок М,スチールクS,钢制方块 S,鋼鐵小方塊,강철 블록 S,Çelik Blok S,Μπλοκ Ατσάλι S,Stalen blok S,Khối thép S
HullFullSmallDestroyed,Steel Block S - Destroyed,Stahlblock S - zerstört,Bloc acier S - détruit,Blocco di Acciaio S - Distrutto,Bloques de acero S - Destruido,Bloco de Aço S - Destruído,Blocos de Aço P - Destruído,Blok stalowy S - zniszczony,Стальной блок М - разбитый,スチールS(破損),钢制方块 S - 已损毁,鋼鐵小方塊 - 已摧毀,강철 블록 S - 파괴됨,Çelik Blok S - Yıkık,Μπλοκ Ατσάλι S - Κατεστραμμένο,Stalen blok S - Vernietigd,Khối thép S - đã bị phá huỷ
HullLargeBlocks,Steel Blocks L,Stahlblöcke L,Blocs acier L,Blocchi di Acciaio L,Bloque de acero L,Blocos de Aço L,Blocos de Aço G,Bloki stalowe L (grupa),Стальные блоки Б,スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,Çelik Bloklar L,Μπλοκ Ατσάλι L,Stalen blokken L,Khối thép L
HullLargeDestroyedBlocks,Steel Blocks L - Destroyed,Stahlblöcke L - zerstört,Blocs acier L - détruits,Blocchi di Acciaio L - Distrutti,Bloques de acero L - Destruido,Blocos de Aço L - Destruídos,Blocos de Aço G - Destruído,"Bloki stalowe, zniszczone L (grupa)",Стальные блоки Б - разбитые,スチールL(破損),钢制方块 L - 已损毁,鋼鐵大方塊 - 已摧毀,강철 블록 L - 파괴됨,Çelik Bloklar L- Yıkık,Μπλοκ Ατσάλι L - Κατεστραμμένο,Stalen blokken L - Vernietigd,Khối thép L - đã bị phá huỷ
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Blocs acier S,Blocchi di Acciaio S,Bloque de acero S,Blocos de Aço S,Blocos de Aço P,Bloki stalowe S (grupa),Стальные блоки М,スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,Çelik Bloklar S,Μπλοκ Ατσάλι S,Stalen blokken S,Khối thép S
HullSmallDestroyedBlocks,Steel Blocks S - Destroyed,Stahlblöcke S - zerstört,Blocs acier S - détruits,Blocchi di Acciaio S - Distrutti,Bloques de acero S - Destruido,Blocos de Aço S - Destruídos,Blocos de Aço P - Destruído,"Bloki stalowe, zniszczone S (grupa)",Стальные блоки М - разбитые,スチールS(破損),钢制方块 S - 已损毁,鋼鐵小方塊 - 已摧毀,강철 블록 S - 파괴됨,Çelik Bloklar S - Yıkık,Μπλοκ Ατσάλι S - Κατεστραμμένο,Stalen blokken S - Vernietigd,Khối thép S - đã bị phá huỷ
HullThin,Steel Block,Stahlblock,Bloc acier (fin),Blocco di Acciaio (Sottile),Bloque de acero,Bloco de Aço,Bloco de Aço,Blok stalowy,Стальной блок (тонкий),スチール,钢制方块,鋼鐵方塊,강철 블록,Çelik Blok (ince),Μπλοκ Ατσάλι,Stalen blok,Khối thép
HullThinLarge,Steel Block L,Stahlblock L,Bloc acier L (fin),Blocco di Acciaio L,Bloque de acero L,Bloco de Aço L,Bloco de Ferro G,Blok stalowy L,Стальной блок Б (тонкий),スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,Çelik Blok L (ince),Μπλοκ Ατσάλι L,Stalen blok L,Khối thép L
HullThinLargeBlocks,Steel Blocks L (thin),Stahlblöcke L (dünn),Bocs acier L (fin),Blocchi di Acciaio L (Sottile),Bloque de acero L (fino),Blocos de Aço L (fino),Blocos de Aço G (fino),"Bloki stalowe, płaskie L (grupa)",Стальные блоки Б (тонкие),薄型スチールL,钢制方块 L（薄的）,鋼鐵大方塊（薄）,강철 블록 L(얇음),Çelik Bloklar L (ince),Μπλοκ Ατσάλι L (λεπτό),Stalen blokken L (Smal),Khối thép L (loại mỏng)
HullThinLargeDestroyed,Steel Blocks L (thin) - Destroyed,Stahlblöcke L (dünn) - zerstört,Blocs acier L (fin) - détruits,Blocchi di Acciaio L (Sottile) - Distrutti,Bloques de acero L - Destruido,Blocos de Aço (fino) - Destruídos,Blocos de Aço G (fino) - Destruído,"Bloki stalowe, płaskie, zniszczone L (grupa)",Стальные блоки Б (тонкие) - разбитые,薄型スチールL(破損),钢制方块 L（薄的）- 已损毁,鋼鐵大方塊（薄） - 已摧毀,강철 블록 L(얇음) - 파괴됨,Çelik Bloklar L (ince) - Yıkık,Μπλοκ Ατσάλι (λεπτό) - Κατεστραμμένο,Stalen blokken L (Smal) - Vernitigd,Khối thép L (loại mỏng) - đã bị phá huỷ
HullThinSmall,Steel Block S,Stahlblock S,Bloc acier S (fin),Blocco di Acciaio S (Sottile),Bloque de acero S,Bloco de Aço S,Bloco de Aço P,Blok stalowy S,Стальной блок М (тонкий),スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,Çelik Blok S (ince),Μπλοκ Ατσάλι S,Stalen blok S,Khối thép S
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn),Blocs acier S (fin),Blocchi di Acciaio S (Sottile),Bloque de acero S (fino),Blocos de Aço S (fino),Blocos de Aço P (fino),"Bloki stalowe, płaskie S (grupa)",Стальные блоки М (тонкие),薄型スチールS,钢制方块 S（薄的）,鋼鐵小方塊（薄）,강철 블록 S(얇음),Çelik Bloklar S (ince),Μπλοκ Ατσάλι S (Λεπτό),Stalen blokken S (Smal),Khối thép S (loại mỏng)
HullThinSmallDestroyed,Steel Blocks S (thin) - Destroyed,Stahlblöcke S (dünn) - zerstört,Blocs acier S (fin) - détruits,Blocchi di Acciaio S (Sottile) - Distrutti,Bloques de acero S (fino) - Destruido,Blocos de Aço (fino) - Destruídos,Blocos de Aço P (fino) - Destruído,"Bloki stalowe, płaskie, zniszczone S (grupa)",Стальной блок М (тонкий) - разбитый,薄型スチールL(破損),钢制方块 S（薄的）- 已损毁,鋼鐵小方塊（薄） - 已摧毀,강철 블록 S(얇음) - 파괴됨,Çelik Bloklar S (ince) - Yıkık,Μπλοκ Ατσάλι S (λεπτό) - Κατεστραμμένο,Stalen blokken S (Smal) - Vernitigd,Khối thép S (loại mỏng) - đã bị phá huỷ
RailingDiagonal,Railing Diagonal,Geländer diagonal,Rambarde diagonale,Ringhiera Diagonale,Valla diagonal,Gradeamento Oblíquo,Grade Diagonal,Ogrodzenie - ukośne,Перила диагональные,ブレースゲージ,斜线矮墙,對角欄杆,난간 대각,Korkuluk Köşegen,Διαγώνια Κάγκελα,Railing diagonaal,Lan can đường chéo
RailingDiagonalGlass,Glass Railing Diagonal,Glasgeländer diagonal,Rambarde verre diagonale,Ringhiera di Vetro Diagonale,Valla diagonal de cristal,Gradeamento Oblíquo de Vidro,Grade Diagonal de Vidro,Szklane ogrodzenie - ukośne,Стеклянные перила диагональные,ブレースガラスゲージ,玻璃斜线矮墙,玻璃對角欄杆,유리 난간 대각,Cam Korkuluk Köşegen,Διαγώνιο Γυάλινο Κάγκελο,Glazen railing diagonaal,Lan can bằng kính đường chéo
RailingDiagonalGlassInv,Glass Railing Diagonal,Glasgeländer diagonal,Rambarde verre diagonale,Ringhiera di Vetro Diagonale,Valla diagonal de cristal,Gradeamento Oblíquo de Vidro,Grade Diagonal de Vidro Inv,Szklane ogrodzenie - ukośne,Стеклянные перила диагональные,ブレースガラスゲージ,玻璃斜线矮墙,玻璃對角欄杆,유리 난간 대각,Cam Korkuluk Köşegen,Διαγώνιο Γυάλινο Κάγκελο,Glazen railing diagonaal,Lan can bằng kính đường chéo
RailingL,Railing L-Shape,Geländer L-Form,Rambarde en L,Ringhiera Forma-L,Valla en forma de L,Gradeamento Formato em L,Grade em L,Ogrodzenie - narożnik,Перила L-образные,ゲージL字型,L型矮墙,L型欄杆,난간 L자형,Korkuluk L-Şekli,Κάγκελα L - Σχήμα,Raling L-vorm,Lan can hình chữ L
RailingLGlass,Glass Railing L-Shape,Glasgeländer L-Form,Rambarde verre en L,Ringhiera di Vetro Forma-L,Valla de cristal en forma de L,Gradeamento em Vidro Formato em L,Grade com Vidro em L,Szklane ogrodzenie - narożnik,Стеклянные перила L-образные,ガラスゲージL字型,玻璃L型矮墙,玻璃L形欄杆,유리 난간 L자형,Cam Korkuluk L-Şekli,Γυάλινο Κάγκελο L - Σχήμα,Glazen railing L-vorm,Lan can bằng kính hình chữ L
RailingLGlassInv,Glass Railing L-Shape,Glasgeländer L-Form,Rambarde verre en L,Ringhiera di Vetro Forma-L,Valla de cristal en forma de L,Gradeamento em Vidro Formato em L,Grade com Vidro em L Inv,Szklane ogrodzenie - narożnik,Стеклянные перила L-образные,ガラスゲージL字型,玻璃L型矮墙,玻璃L形欄杆,유리 난간 L자형,Cam Korkuluk L-Şekli,Γυάλινο Κάγκελο L - Σχήμα,Glazen railing L-vorm,Lan can bằng kính hình chữ L
RailingRound,Railing Round,Geländer rund,Rambarde arrondie,Ringhiera Rotonda,Valla redonda,Gradeamento Redondo,Grade Redonda,Ogrodzenie - łuk,Перила круглые,ラウンドゲージ,圆型矮墙,圓形欄杆,둥근 난간,Korkuluk Yuvarlak,Στρογγυλό Κάγκελο,Railing rond,Lan can bán nguyệt
RailingRoundGlass,Glass Railing Round,Glasgeländer rund,Rambarde verre arrondie,Ringhiera di Vetro Rotonda,Valla redonda de cristal,Gradeamento de Vidro Redondo,Grande com Vidro Redonda,Szklane ogrodzenie - łuk,Стеклянные перила скругленные,ラウンドガラスゲージ,玻璃圆型矮墙,玻璃圓形欄杆,둥근 유리 난간,Cam Korkuluk Yuvarlak,Γυάλινο Στρογγυλό Κάγκελο,Glazen railing rond,Lan can bằng kính hình bán nguyệt
RailingRoundGlassInv,Glass Railing Round,Glasgeländer rund,Rambarde verre arrondie,Ringhiera di Vetro Rotonda,Valla redonda de cristal,Gradeamento de Vidro Redondo,Grade com Vidro Redonda Inv,Szklane ogrodzenie - łuk,Стеклянные перила скругленные,ラウンドガラスゲージ,玻璃圆型矮墙,玻璃圓形欄杆,둥근 유리 난간,Cam Korkuluk Yuvarlak,Γυάλινο Στρογγυλό Κάγκελο,Glazen railing rond,Lan can bằng kính hình bán nguyệt
RailingSlopeGlassLeft,Glass Railing Slope (left),Glasgeländer schräg (links),Rambarde verre inclinée (gauche),Ringhiera di Vetro Inclinata (Sinistra),Valla inclinada de cristal,Inclinação Gradeamento de Vidro (esquerda),Grade Inclinada de Vidro (esquerda),"Szklane ogrodzenie - nachylone, lewe",Стеклянные перила наклонные (левые),ガラスゲージ(左),玻璃楼梯扶手（左）,玻璃斜坡欄杆（左）,유리 난간 경사면(왼쪽),Cam korkuluk Eğimli (sol),Γυψοσανίδα (αριστερά),Glazen railing helling (links),Lan can bằng kính có độ dốc (trái)
RailingSlopeGlassLeftInv,Glass Railing Slope (left),Glasgeländer schräg (links),Rambarde verre inclinée (gauche),Ringhiera di Vetro Inclinata (Sinistra),Valla inclinada de cristal,Inclinação Gradeamento de Vidro (esquerda),Grade Inclinada de Vidro (esquerda) Inv,"Szklane ogrodzenie - nachylone, lewe",Стеклянные перила наклонные (левые),ガラスゲージ(左),玻璃楼梯扶手（左）,玻璃斜坡欄杆（左）,유리 난간 경사면(왼쪽),Cam korkuluk Eğimli (sol),Γυψοσανίδα (αριστερά),Glazen railing helling (links),Lan can bằng kính có độ dốc (trái)
